mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,Sample Type,Train Percentage,Model,param_criterion,param_max_depth,param_max_features,param_n_estimators,criterion,max_depth,max_features,n_estimators,param_min_samples_leaf,param_min_samples_split,param_splitter,min_samples_leaf,min_samples_split,splitter,param_colsample_bytree,param_subsample,colsample_bytree,subsample,param_learning_rate_init,param_max_iter,learning_rate_init,max_iter,param_bootstrap,bootstrap,param_gamma,param_min_child_weight,gamma,min_child_weight,param_fit_kwargs,param_model_kwargs,fit_kwargs,model_kwargs
0.0342165470123291,0.0158330844506744,0.0006323814392089,9.03125801199376e-05,relu,0.0001,"(50,)",constant,adam,-76.97127829284369,-123.358941775468,-41.88184573150092,-65.116390516249,-266.52200606609046,-114.7700924764304,80.38575569837083,27,relu,0.0001,"(50,)",constant,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7234490394592286,0.0433213639976675,0.0013909339904785,0.0006151788335886,relu,0.0001,"(50,)",constant,sgd,-3079806.047052529,-3706597.272665744,-3227105.729212395,-4028168.177691381,-4731952.95610066,-3754726.036544542,594299.5230854182,39,relu,0.0001,"(50,)",constant,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0512798309326171,0.0187249765923669,0.0009875297546386,0.0002744978860696,relu,0.0001,"(50,)",adaptive,adam,-76.97127829284369,-123.358941775468,-41.88184573150092,-65.116390516249,-266.52200606609046,-114.7700924764304,80.38575569837083,27,relu,0.0001,"(50,)",adaptive,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7094638347625732,0.0857374805441289,0.0007741928100585,0.0002167615079008,relu,0.0001,"(50,)",adaptive,sgd,-3079806.047052529,-3706597.272665744,-3227105.729212395,-4028168.177691381,-4731952.95610066,-3754726.036544542,594299.5230854182,39,relu,0.0001,"(50,)",adaptive,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0553119659423828,0.0450074751149826,0.0006324768066406,0.0001208740718965,relu,0.0001,"(100,)",constant,adam,-62.437569604006825,-45.055414790076895,-82.13874425748858,-94.51375476814664,-52.531628155607685,-67.33542231506532,18.424658007515895,17,relu,0.0001,"(100,)",constant,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9052822589874268,0.0224454550551444,0.0006777286529541,1.5694101046591852e-05,relu,0.0001,"(100,)",constant,sgd,-5126677.949874396,-4898505.787551764,-4433229.408921213,-3771277.6940730647,-4469960.856859522,-4539930.339455992,464748.7098712095,43,relu,0.0001,"(100,)",constant,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0532078742980957,0.0396357061578063,0.0006522178649902,9.927820632343568e-05,relu,0.0001,"(100,)",adaptive,adam,-62.437569604006825,-45.055414790076895,-82.13874425748858,-94.51375476814664,-52.531628155607685,-67.33542231506532,18.424658007515895,17,relu,0.0001,"(100,)",adaptive,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9401233673095704,0.0228386967632166,0.0007220268249511,4.021368792970724e-05,relu,0.0001,"(100,)",adaptive,sgd,-5126677.949874396,-4898505.787551764,-4433229.408921213,-3771277.6940730647,-4469960.856859522,-4539930.339455992,464748.7098712095,43,relu,0.0001,"(100,)",adaptive,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0493957996368408,0.0142688484541257,0.0007046222686767,0.0002412130901199,relu,0.0001,"(50, 50)",constant,adam,-60.2793397674973,-48.706654375859294,-102.94233746396328,-70.74323192851877,-39.11273633042842,-64.3568599732534,22.038356130620848,9,relu,0.0001,"(50, 50)",constant,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0169978141784667,0.0020455113733637,0.0007823467254638,0.0001576915405798,relu,0.0001,"(50, 50)",constant,sgd,-41056829.378640495,-35074811.34925337,-212065.7460977249,-17859.345280363825,-1484873.4917127637,-15569287.862196945,18472369.35130964,45,relu,0.0001,"(50, 50)",constant,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0492308616638183,0.0128513478695561,0.0006020545959472,3.603116109182772e-05,relu,0.0001,"(50, 50)",adaptive,adam,-60.2793397674973,-48.706654375859294,-102.94233746396328,-70.74323192851877,-39.11273633042842,-64.3568599732534,22.038356130620848,9,relu,0.0001,"(50, 50)",adaptive,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0742448329925537,0.0005145231718241,0.0006753921508789,0.0001199967506346,relu,0.0001,"(50, 50)",adaptive,sgd,-41056829.378640495,-35074811.34925337,-212065.7460977249,-17859.345280363825,-1484873.4917127637,-15569287.862196945,18472369.35130964,45,relu,0.0001,"(50, 50)",adaptive,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0299232959747314,0.0112803146689005,0.0006338119506835,0.000136535773679,relu,0.001,"(50,)",constant,adam,-76.9712633626352,-123.3589050452671,-41.88190558917014,-65.11636471346756,-266.52195686537294,-114.77007911518258,80.38573007407003,25,relu,0.001,"(50,)",constant,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8004712104797364,0.0983602804593026,0.0009153842926025,0.0001733914979597,relu,0.001,"(50,)",constant,sgd,-3079806.011240384,-3706597.2259090138,-3227105.696841898,-4028168.157560545,-4731952.911794956,-3754726.000669359,594299.5213013556,37,relu,0.001,"(50,)",constant,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0535473346710205,0.0230900858131337,0.0008785724639892,0.0002064647629716,relu,0.001,"(50,)",adaptive,adam,-76.9712633626352,-123.3589050452671,-41.88190558917014,-65.11636471346756,-266.52195686537294,-114.77007911518258,80.38573007407003,25,relu,0.001,"(50,)",adaptive,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8881717205047608,0.0702258600835813,0.0009233951568603,0.0001948751852026,relu,0.001,"(50,)",adaptive,sgd,-3079806.011240384,-3706597.2259090138,-3227105.696841898,-4028168.157560545,-4731952.911794956,-3754726.000669359,594299.5213013556,37,relu,0.001,"(50,)",adaptive,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0681788921356201,0.0372769925841518,0.0009066581726074,0.0003279578860797,relu,0.001,"(100,)",constant,adam,-62.43873688152656,-45.357739541163774,-82.13874274047788,-94.51375811148736,-52.53161427012476,-67.39611830895606,18.351733505251577,19,relu,0.001,"(100,)",constant,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.015651798248291,0.0616701761088001,0.0008721351623535,0.0001139775471731,relu,0.001,"(100,)",constant,sgd,-5126677.919406569,-4898505.713774359,-4433229.3566538645,-3771277.612266634,-4469960.755218262,-4539930.271463938,464748.72331408726,41,relu,0.001,"(100,)",constant,sgd,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0529950141906738,0.0412414001235233,0.0005605697631835,1.2068220004143437e-05,relu,0.001,"(100,)",adaptive,adam,-62.43873688152656,-45.357739541163774,-82.13874274047788,-94.51375811148736,-52.53161427012476,-67.39611830895606,18.351733505251577,19,relu,0.001,"(100,)",adaptive,adam,vo2max_relative,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
